time (s), velocity (ms^-1), altitude (m)
0,0,0
0.10000000000000184,5.235444530924878,0.26192679719134676
0.1999999999999943,10.483762653117388,1.0480422143944956
0.2999999999999833,15.744973055992691,2.359634547301287
0.39999999999997227,21.019094288642293,4.197993953540942
0.49999999999996125,26.306144757536213,6.5644124385328375
0.5999999999999502,31.606142724202943,9.460183841108492
0.6999999999999392,36.91910630288705,12.886603818900305
0.7999999999999282,42.24505345818387,16.844969833494986
0.8999999999999172,47.58400200265163,21.336581135349405
0.9999999999999062,52.935969594401435,26.362738748466203
1.0999999999998953,58.30097373466254,31.924745454827725
1.1999999999998843,63.67903176532621,38.023905778584705
1.2999999999998733,69.07016086646466,44.66152596999903
1.3999999999998622,74.47437805382825,51.838913989136444
1.4999999999998512,79.89170017631648,59.55737948930759
1.5999999999998402,85.32214391342819,67.81823380025648
1.6999999999998292,90.765725772685,76.62278991109095
1.7999999999998182,96.22246208703274,85.97236245295487
1.8999999999998072,101.6923690122169,95.86826768144013
1.9999999999997962,107.17546252413537,106.31182345873401
2.100000000000007,112.67175841616434,117.30434923550045
2.2000000000002182,118.18127229646123,128.84716603249342
2.3000000000004293,123.70401958524195,140.94159642189987
2.4000000000006403,129.2400155120339,153.58896450840646
2.5000000000008513,134.78927511290186,166.79059590999248
2.6000000000010624,140.35181322765143,180.54781773844462
2.7000000000012734,145.92764449700186,194.86195857959052
2.8000000000014844,151.5167833597407,209.73434847324697
2.9000000000016954,157.11924404984413,225.16631889288138
3.0000000000019065,162.73504059357822,241.15920272498823
3.1000000000021175,168.36418680656928,257.7143342481695
3.2000000000023285,174.00669629085252,274.83304911192664
3.3000000000025396,179.66258243188707,292.516684315147
3.4000000000027506,185.3318583955533,310.7665781843011
3.5000000000029616,191.0145371251154,329.5840703513308
3.6000000000031727,196.7106313381615,348.9705017312316
3.7000000000033837,202.4201535235151,368.92721449934066
3.8000000000035947,208.14311593811885,389.45555206829187
3.9000000000038058,213.87953060389432,410.55685906468
4.000000000004016,219.62940930456855,432.2324813053948
4.100000000003783,225.3927635824769,454.4837657736469
4.20000000000355,231.16960473533504,477.3120605946607
4.300000000003317,236.95994381298786,500.71871501105517
4.400000000003084,242.7637916141247,524.7050793578925
4.500000000002851,248.58115868296915,549.2725050373937
4.600000000002618,254.4120553059392,574.4223444933252
4.700000000002385,260.2564915082792,600.1559511850545
4.800000000002152,266.1144770506616,626.4746795612596
4.900000000001919,271.98602142576794,653.3798850333005
5.000000000001686,277.8711338548217,680.8729239482481
5.100000000001453,283.76982328411646,708.9551535615674
5.20000000000122,289.68209838149363,737.6279320094415
5.300000000000987,295.6079675328055,766.8926182807534
5.4000000000007535,301.5474388383344,796.7505721887134
5.5000000000005205,307.5005201092005,827.2031543421131
5.600000000000287,313.4672188637192,858.251726116233
5.700000000000054,319.44754232374504,889.8976496233787
5.799999999999821,325.44149741097624,922.1422876830487
5.899999999999588,331.449090743231,954.9870037917316
5.999999999999355,337.4703286306917,988.4331620923358
6.099999999999122,343.50521707212533,1022.4821273432308
6.199999999998889,349.5537617510629,1057.1352648869167
6.299999999998656,355.6159680319557,1092.3939406183101
6.399999999998423,361.6918409562968,1128.2595209526385
6.49999999999819,367.7813852387118,1164.7333727929592
6.599999999997957,373.88460526301975,1201.8168634972594
6.699999999997724,380.0015050782629,1239.5113608451873
6.799999999997491,386.13208839470076,1277.818233004378
6.899999999997258,392.2763585797765,1316.7388484963692
6.999999999997025,398.4343186540503,1356.274576162106
7.0999999999967915,404.60597128710225,1396.426785127065
7.1999999999965585,410.79131879339815,1437.1968447659328
7.299999999996325,416.9903631281297,1478.5861246669137
7.399999999996092,423.2031058830161,1520.5959945955576
7.499999999995859,429.4295482820808,1563.2278244582271
7.599999999995626,435.66969117738824,1606.4829842650972
7.699999999995393,441.92353504475096,1650.3628440927637
7.79999999999516,448.19107997940375,1694.8687740463897
7.899999999994927,454.4723256916472,1740.002144221427
7.999999999994694,460.7672715024553,1785.7643246649109
8.099999999994461,467.07591633905133,1832.1566853363129
8.199999999994228,473.3982587304468,1879.1805960679212
8.299999999993995,479.73429680295567,1926.8374265248092
8.399999999993762,486.08402827566715,1975.1285461643458
8.499999999993529,492.4474504558879,2024.0553241952305
8.599999999993296,498.8245602345518,2073.6191295361023
8.699999999993063,505.21535408159474,2123.8213307736423
8.79999999999283,511.6198280412946,2174.6632961202736
8.899999999992596,518.0379777275816,2226.1463933713458
8.999999999992363,524.469798319312,2278.271989861869
9.09999999999213,530.9152845554992,2331.0414524227513
9.199999999991897,537.3744307305387,2384.4561473366084
9.299999999991664,543.8472306893622,2438.5174402930306
9.399999999991431,550.3336778225791,2493.2266963433967
9.499999999991198,556.8337650615852,2548.585279855206
9.599999999990965,563.3474848736275,2604.5945544659135
9.699999999990732,569.8748292568398,2661.2558830362664
9.799999999990499,576.4157897352469,2718.5706276031237
9.899999999990266,582.9703573537283,2776.540149331822
9.999999999990033,589.5385226729451,2835.1658084679843
10.0999999999898,596.1202757642455,2894.4489642888393
10.199999999989567,602.7156062045226,2954.3909750540824
10.299999999989334,609.3245030710475,3014.9931979561015
10.3999999999891,615.9469549362494,3076.2569890698082
10.499999999988868,622.5829498624913,3138.1837033018564
10.599999999988635,629.232475396788,3200.7746943394095
10.699999999988401,635.8955185654975,3264.031314598284
10.799999999988168,642.5720658689673,3327.9549151706738
10.899999999987935,649.2621032761676,3392.5468457722623
10.999999999987702,655.9656162192664,3457.8084546887835
11.09999999998747,662.6825895881921,3523.7410887221204
11.199999999987236,669.4130077251349,3590.346093135767
